paperSize;paperType;printType;max20;max49;max99;more
A4;80k;1/0;2,00;2,00;1,50;1,50
A4;80k;1/1;3,00;3,00;2,50;2,50
A4;80r;1/0;2,50;2,50;2,00;2,00
A4;80r;1/1;3,50;3,50;3,00;3,00
A4;90m;1/0;2,50;2,50;2,00;2,00
A4;90m;1/1;3,50;3,50;3,00;3,00
A4;160m;1/0;5,00;4,50;4,00;3,50
A4;160m;1/1;7,50;7,00;6,50;6,00
A4;250m;1/0;7,00;6,00;5,50;5,00
A4;250m;1/1;9,00;8,00;7,50;7,00
A4;300m;1/0;8,00;7,00;6,50;6,00
A4;300m;1/1;10,00;9,00;8,50;8,00
A3;80k;1/0;7,00;6,50;6,00;5,00
A3;80k;1/1;8,00;7,50;7,00;6,00
A3;160m;1/0;9,00;8,50;8,00;7,50
A3;160m;1/1;11,00;10,00;9,00;8,00
A3;250m;1/0;10,00;9,50;9,00;8,50
A3;250m;1/1;12,00;11,50;11,00;10,00
SRA3;90m;1/0;8,00;7,50;7,00;5,50
SRA3;90m;1/1;10,00;9,50;9,00;7,50
SRA3;160m;1/0;10,00;9,50;9,00;7,50
SRA3;160m;1/1;14,00;13,50;13,00;11,50
SRA3;220m;1/0;11,00;10,50;10,00;8,50
SRA3;220m;1/1;15,00;14,50;14,00;12,50
A4;80k;4/0;9,00;8,50;8,00;6,50
A4;80k;4/4;16,00;15,00;14,00;12,00
A4;80k;4/1;10,00;9,50;9,00;7,50
A4;80r;4/0;9,00;8,50;8,00;6,50
A4;80r;4/4;16,00;15,00;14,00;12,00
A4;80r;4/1;10,00;9,50;9,00;7,50
A4;90m;4/0;10,00;9,50;9,00;7,50
A4;90m;4/4;17,00;16,00;15,00;13,00
A4;90m;4/1;11,00;10,50;10,00;8,50
A4;160m;4/0;10,50;10,00;9,50;7,50
A4;160m;4/4;17,50;16,50;15,50;13,00
A4;160m;4/1;11,50;11,00;10,50;8,50
A4;250m;4/0;11,00;10,50;10,00;8,00
A4;250m;4/4;18,00;17,00;16,00;14,00
A4;250m;4/1;12,00;11,50;11,00;9,00
A4;300m;4/0;12,00;11,50;11,00;8,50
A4;300m;4/4;18,00;18,50;17,00;14,00
A4;300m;4/1;13,00;12,50;10,00;9,50
A3;80k;4/0;16,50;16,00;15,50;14,00
A3;80k;4/4;28,00;27,00;26,00;24,00
A3;80k;4/1;17,50;17,00;16,50;15,00
A3;160m;4/0;18,00;17,50;17,00;15,50
A3;160m;4/4;30,00;28,00;27,00;25,00
A3;160m;4/1;19,00;18,50;18,00;16,50
A3;250m;4/0;20,00;19,00;18,00;16,00
A3;250m;4/4;32,00;31,00;30,00;28,00
A3;250m;4/1;21,00;20,00;19,00;17,00
SRA3;90k;4/0;17,00;16,50;16,00;14,50
SRA3;90k;4/4;29,00;28,00;27,00;25,00
SRA3;90k;4/1;18,00;17,50;17,00;15,50
SRA3;160m;4/0;19,00;18,50;18,00;16,50
SRA3;160m;4/4;31,00;30,00;29,00;27,00
SRA3;160m;4/1;20,00;19,50;19,00;17,50
SRA3;220m;4/0;21,00;20,00;19,00;17,00
SRA3;220m;4/4;33,00;32,00;31,00;29,00
SRA3;220m;4/1;22,00;21,00;20,00;18,00
